,at,like,loc,re,tag,time,twit
1591,[AnnCoulter],2900.0,,1100.0,,5:27 AM - 21 Jan 2016,"""@AnnCoulter: Trump destroyed Hillary & Sanders moved in. But he didn't destroy her, Trump did. http://nyti.ms/1WtXJcs "" So true!"
1592,,5800.0,,2400.0,"[FITN, Trump2016]",3:42 PM - 20 Jan 2016,New CNN/WMUR New Hampshire poll just released. Thank you! #FITN #Trump2016pic.twitter.com/sZr9taU20G
1593,,4400.0,,1600.0,,3:40 PM - 20 Jan 2016,"Bob Dole Warns of ‘Cataclysmic’ Losses With Ted Cruz, and Says Donald Trump Would Do Better via New York Times: https://www.facebook.com/DonaldTrump/posts/10156552826965725 …"
1594,,5500.0,,2300.0,"[FITN, Trump2016, NHPolitics]",2:44 PM - 20 Jan 2016,"Thank you, New Hampshire! #FITN
#Trump2016 #NHPoliticspic.twitter.com/3FkMZpaEdR"
1595,,6800.0,,2900.0,[Trump2016],2:43 PM - 20 Jan 2016,"Thank you, Florida! #Trump2016pic.twitter.com/npcw1AN2ht"
1596,,12000.0,,4300.0,,12:52 PM - 20 Jan 2016,"15K in OK! Had to turn away 5k, but we are coming back soon to take care of them! So much love in the crowd! Thanks!pic.twitter.com/XsOeREiYuA"
1597,[SarahPalinUSA],6200.0,,1900.0,,7:53 AM - 20 Jan 2016,Great rally in Iowa! Such wonderful people. Traveling now with @SarahPalinUSA to Tulsa- massive crowd expected!pic.twitter.com/gaK4KEbHOh
1598,,4200.0,,1700.0,"[MakeAmericaGreatAgain, Trump2016]",5:40 AM - 20 Jan 2016,"#MakeAmericaGreatAgain #Trump2016
LIFE CHANGING EXPERIENCE
Video: https://www.facebook.com/DonaldTrump/videos/10156549336385725/ …pic.twitter.com/0bSTLvq7V9"
1599,[nytimes],3700.0,,1200.0,,3:16 AM - 20 Jan 2016,"""@nytimes: Breaking News: Sarah Palin has endorsed Donald Trump in the GOP primary - appeal to Tea Party loyalists http://nyti.ms/1T2ddnW """
1600,[ron_fournier],3600.0,,1000.0,,3:14 AM - 20 Jan 2016,"""@ron_fournier: President Donald Trump (just getting used to it)"" Wow, very nice!"
1601,,9100.0,,2800.0,,8:05 PM - 19 Jan 2016,"I am greatly honored to receive Sarah Palin's endorsement tonight. 
Video: https://www.facebook.com/DonaldTrump/videos/10156549868870725/ …pic.twitter.com/bjTPvwM4nW"
1602,,4200.0,,1900.0,,5:49 PM - 19 Jan 2016,Judge Jeanine Slams GOP Establishment:http://insider.foxnews.com/2016/01/18/judge-jeanine-slams-haley-gop-establishment-start-supporting-your-partys-frontrunner …
1603,,4300.0,,1700.0,"[Trump2016, MakeAmericaGreatAgain, ECONOMY]",5:48 PM - 19 Jan 2016,#Trump2016 #MakeAmericaGreatAgain #ECONOMY - VIDEO: https://www.facebook.com/DonaldTrump/videos/10156546300015725/ …pic.twitter.com/KsVYviVdc2
1604,,6400.0,,2500.0,,2:35 PM - 19 Jan 2016,"“Palin’s brand among evangelicals is as gold as the faucets in Trump tower,” said Ralph Reed, the chairman of the Faith & Freedom Coalition."
1605,,7700.0,,3100.0,,10:47 AM - 19 Jan 2016,"Wow, the highly respected Governor of Iowa just stated that ""Ted Cruz must be defeated."" Big shoker! People do not like Ted."
1606,,9600.0,,3500.0,,10:11 AM - 19 Jan 2016,A true honor to receive the endorsement of John Wayne's daughter....read: https://www.facebook.com/DonaldTrump/posts/10156548303850725:0 …pic.twitter.com/1e6gk0PsQH
1607,,5500.0,,1900.0,,8:19 AM - 19 Jan 2016,In the just released SC poll I increased my lead by 4 points since last poll by same firm. Up by 14! Cruz dropped 3.http://www.thestate.com/news/politics-government/politics-columns-blogs/the-buzz/article55176940.html …
1608,[JerryJrFalwell],4200.0,,1500.0,,7:47 AM - 19 Jan 2016,"Thank you for your strong testimony when welcoming me to Liberty University, yesterday- @JerryJrFalwell.https://www.youtube.com/watch?v=FVMVkKAHXU4 …"
1609,,5300.0,,2000.0,[Trump2016],7:22 AM - 19 Jan 2016,Thank you Georgia! I appreciate all of your support. #Trump2016pic.twitter.com/oNbgRpjKDl
1610,[FreeJesseJames],3600.0,,1000.0,,7:17 AM - 19 Jan 2016,.@FreeJesseJames- Just read your complete statement. You are an amazing guy & I really appreciate your words & support. I will see you soon!
1611,,6000.0,,2200.0,"[MakeAmericaGreatAgain, Trump2016]",7:04 AM - 19 Jan 2016,"On my way to Iowa- just received new national poll numbers. Thank you!
#MakeAmericaGreatAgain #Trump2016pic.twitter.com/sQ9UEVW4Vp"
1612,,4900.0,,1600.0,,6:44 AM - 19 Jan 2016,Really disgusting that the failing New York Times allows dishonest writers to totally fabricate stories.
1613,[HowardStern],4400.0,,1500.0,,6:44 AM - 19 Jan 2016,"Dope Frank Bruni said I called many people, including Karl Rove, losers-true! I never called my friend @HowardStern a loser- he’s a winner!"
1614,[tedcruz],2600.0,,1100.0,[TeamTrump],6:18 AM - 19 Jan 2016,.@tedcruz Conflicting Stances on Birthright Citizenship [14th Amendment] Gives #TeamTrump credit.https://m.youtube.com/watch?feature=youtu.be&v=4zBW8vLnRDY …
1615,,4900.0,,1600.0,,4:50 AM - 19 Jan 2016,"Wow, new polls just out have Trump up and Cruz down - he is a nervous wreck!"
1616,"[TheBrodyFile, AC360]",2900.0,,792.0,,7:44 PM - 18 Jan 2016,.@TheBrodyFile great job on @AC360. Thank you for the very smart and kind words!
1617,"[TheBrodyFile, realDonaldTrump, tedcruz]",3000.0,,1000.0,[CBNNews],6:36 PM - 18 Jan 2016,""".@TheBrodyFile Exclusive: @realDonaldTrump Says He Will Protect Evangelicals Better Than @tedcruz http://www1.cbn.com/thebrodyfile/a … #CBNNews #2016"""
1618,,6200.0,,2100.0,,5:57 PM - 18 Jan 2016,I don't think Ted Cruz can even run for President until he can assure Republican voters that being born in Canada is not a problem. Doubt!
1619,,6500.0,,2300.0,,5:50 PM - 18 Jan 2016,Ted Cruz is falling in the polls. He is nervous. People are worried about his place of birth and his failure to report his loans from banks!
1620,,11000.0,,3700.0,,3:45 PM - 18 Jan 2016,"I loved being at Liberty University today! Record setting crowd, unbelievable people! Thank you Jerry and Becki!pic.twitter.com/YrLGb7wXyh"
1621,,5900.0,,2600.0,[Trump2016],11:50 AM - 18 Jan 2016,We launched a new series of #Trump2016 videos via Facebook. A new topic everyday! Watch: https://www.facebook.com/DonaldTrump/videos/10156544215695725/ …pic.twitter.com/52E3LU3W77
1622,[LibertyU],5900.0,Lynchburg Regional Airport  (LYH),2100.0,[Trump2016],9:48 AM - 18 Jan 2016,"A great morning with everyone @LibertyU! Thank you! Off to New Hampshire now. #Trump2016
https://www.facebook.com/DonaldTrump/posts/10156544702880725:0 …pic.twitter.com/aEMUMqSoWm"
1623,,6600.0,,1800.0,[Trump2016],6:50 AM - 18 Jan 2016,Leaving for Liberty University. I'll be speaking today in front of a record crowd. #Trump2016
1624,,4700.0,,2300.0,[Obamacare],6:50 AM - 18 Jan 2016,Just a reminder that Ted Cruz supported liberal Justice John Roberts who gave us #Obamacare.http://www.nationalreview.com/article/214989/right-stuff-ted-cruz …
1625,[IvankaTrump],5100.0,,1700.0,,6:48 AM - 18 Jan 2016,Thank you @IvankaTrump for the kind words. I am very proud of the role model you are for so many. NH & IA radio ad:https://youtu.be/bOGD9mvzIi4 
1626,"[pbralick, BenKissel, greggutfeld, GregGutfeldShow, JoNosuchinsky]",3800.0,,949.0,,7:33 PM - 17 Jan 2016,"""@pbralick: @BenKissel great on @greggutfeld @GregGutfeldShow @JoNosuchinsky too""  Thank you Ben for your nice comments on debate!"
1627,,12000.0,,4700.0,,1:05 PM - 17 Jan 2016,"I am self-funding my campaign - putting up my own money, not controlled.  Cruz is spending $millions on ads paid for by his N.Y. bosses."
1628,,10000.0,,4200.0,,12:57 PM - 17 Jan 2016,"Far more killed than anticipated in radical Islamic terror attack yesterday. Get tough and smart U.S., or we won't have a country anymore!"
1629,,6600.0,,2700.0,[Trump2016],9:46 AM - 17 Jan 2016,"Big announcement in Ames, Iowa on Tuesday! You will not want to miss this rally! #Trump2016 https://www.facebook.com/DonaldTrump/posts/10156540847600725 …pic.twitter.com/lErVfowpMX"
1630,,6900.0,,3500.0,,7:21 AM - 17 Jan 2016,"Iran is going to buy 114 jetliners with a small part of the $150 billion we are giving them...but they won't buy from U.S., rather Airbus!"
1631,,9600.0,,4800.0,,5:51 AM - 17 Jan 2016,"In Iran deal we get 4 prisoners. They get $150 billion, 7 most wanted and many off watch list. This will create great incentive for others!"
1632,,6500.0,,3000.0,,4:25 PM - 16 Jan 2016,Interesting read from Peggy Noonan.pic.twitter.com/jAxIy8xseM
1633,,9900.0,"Maryland, USA",4100.0,,11:39 AM - 16 Jan 2016,Is this the New York that Ted Cruz is talking about & demeaning?pic.twitter.com/rYGX9vazku
1634,,8100.0,,4000.0,,11:32 AM - 16 Jan 2016,"Wow! Ted Cruz received $487K in campaign contributions, $11M from a NY hedge fund mogul, & $1M low int. loan from Goldman Sachs. Hypocrite"
1635,,6200.0,"Portsmouth, NH",1900.0,,10:31 AM - 16 Jan 2016,Departing NH now- great morning with record crowd in Portsmouth- in a snow storm! Thank you! https://www.facebook.com/DonaldTrump/posts/10156537190420725:0 …pic.twitter.com/izBMhEZolh
1636,[tedcruz],6200.0,,2600.0,,10:26 AM - 16 Jan 2016,Greatly dishonest of @TedCruz to file a financial disclosure form & not list his lending banks- then pretend he is going to clean up Wall St
1637,[tedcruz],5400.0,,2100.0,,10:23 AM - 16 Jan 2016,When will @TedCruz give all the New York based campaign contributions back to the special interests that control him.
1638,,5800.0,,2200.0,,10:22 AM - 16 Jan 2016,"Everybody that loves the people of New York, and all they have been thru, should get hypocrites like Ted Cruz out of politics!"
1639,,6000.0,,2500.0,,10:21 AM - 16 Jan 2016,"If Ted Cruz is so opposed to gay marriage, why did he accept money from people who espouse gay marriage?"
1640,,5600.0,,2900.0,,8:11 AM - 16 Jan 2016,"Ted is the ultimate hypocrite. Says one thing for money, does another for votes.http://mobile.nytimes.com/2015/04/24/us/politics/at-new-york-reception-ted-cruz-is-said-to-strike-different-tone-toward-gays.html?referer= …"
1641,,8900.0,,3700.0,"[MakeAmericaGreatAgain, Trump2016]",5:42 AM - 16 Jan 2016,"Great new numbers. Thank you! 
#MakeAmericaGreatAgain #Trump2016
https://www.facebook.com/DonaldTrump/posts/10156536301815725:0 …pic.twitter.com/GFYNUWWCYn"
